City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint-Philippe,0,RE,04/24/2021,73,-21.3585,55.7679,79.0,26.46
1,Narsaq,90,GL,04/24/2021,32,60.9167,-46.05,51.8,34.52
2,Faya,40,SA,04/24/2021,59,18.3851,42.4509,64.4,3.53
3,Jamestown,90,US,04/24/2021,53,42.097,-79.2353,48.2,5.75
4,Fort Nelson,20,CA,04/24/2021,33,58.8053,-122.7002,41.0,4.61
5,Vanimo,100,PG,04/24/2021,90,-2.6741,141.3028,77.76,3.87
6,Port Said,0,EG,04/24/2021,94,31.2565,32.2841,62.6,6.91
7,Codrington,34,AU,04/24/2021,62,-38.2667,141.9667,60.76,11.81
8,Tagusao,59,PH,04/24/2021,76,9.1924,117.8141,83.07,7.34
9,Gawler,0,AU,04/24/2021,50,-34.6,138.7333,68.0,8.99
10,New Norfolk,98,AU,04/24/2021,74,-42.7826,147.0587,63.0,5.01
11,Bluff,87,NZ,04/24/2021,78,-46.6,168.3333,45.0,10.0
12,Ulaangom,63,MN,04/24/2021,21,49.9811,92.0667,41.63,22.01
13,Barrow,1,US,04/24/2021,80,71.2906,-156.7887,26.6,9.22
14,Bredasdorp,100,ZA,04/24/2021,93,-34.5322,20.0403,48.2,1.14
15,Cape Town,0,ZA,04/24/2021,94,-33.9258,18.4232,60.01,4.61
16,Saldanha,100,ZA,04/24/2021,88,-33.0117,17.9442,59.0,5.75
17,Avarua,40,CK,04/24/2021,78,-21.2078,-159.775,80.6,12.66
18,Khatanga,100,RU,04/24/2021,91,71.9667,102.5,20.7,18.79
19,Tutóia,95,BR,04/24/2021,89,-2.7619,-42.2744,77.34,9.4
20,Padang,20,ID,04/24/2021,70,-0.9492,100.3543,86.0,3.44
21,Vilcún,40,CL,04/24/2021,100,-38.65,-72.2333,41.0,1.14
22,Coxim,100,BR,04/24/2021,52,-18.5067,-54.76,70.61,3.06
23,Sechura,96,PE,04/24/2021,76,-5.5569,-80.8222,69.28,13.33
24,Altay,28,CN,04/24/2021,41,47.8667,88.1167,35.58,2.89
25,Paciran,28,ID,04/24/2021,64,-6.8767,112.3761,86.31,7.05
26,Busselton,1,AU,04/24/2021,63,-33.65,115.3333,73.99,1.99
27,Port Alfred,49,ZA,04/24/2021,68,-33.5906,26.891,63.82,9.31
28,Ushuaia,0,AR,04/24/2021,70,-54.8,-68.3,44.6,6.91
29,Ribeira Grande,51,PT,04/24/2021,77,38.5167,-28.7,58.86,16.22
30,Nuuk,75,GL,04/24/2021,57,64.1835,-51.7216,44.6,18.41
31,Puerto Ayora,92,EC,04/24/2021,89,-0.7393,-90.3518,75.16,6.53
32,Topolobampo,3,MX,04/24/2021,77,25.6,-109.05,64.99,5.53
33,Ugoofaaru,22,MV,04/24/2021,69,5.6667,73.0,84.42,5.32
